序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,創新AI,112C71618,繆蕊肍,0ar6k75na8,9,5,1,9,5,5,3,5,4,5
2,電資AI,112C52254,瑟癊莠,crwx64w6yu,2,9,2,2,1,1,6,6,6,1
3,電資AI,111C52141,警猔蛉,ie4mpachewg,9,2,0,2,9,2,2,3,1,9
4,電資資安,111C53316,理斞縅,90x8vecve,9,8,1,0,1,3,4,5,2,2
5,資工所,111598191,娔娊揸,bmmhyfiz45,7,2,9,9,3,3,7,2,9,5
6,創新AI,111C71629,缠頭撝,xl6mk74ghy,1,8,4,2,3,3,9,3,7,6
7,電資資安,111C53924,椛矶蛲,ifsrms94lw,7,3,6,6,7,2,4,1,9,1
8,資工系,112590110,絥趴荸,a8eocdn6r2,0,3,0,0,6,4,0,4,6,1
9,電資資安,111C53442,稨嗀階,0ivldziuhr,5,4,1,4,7,3,9,6,2,8
10,資工系,111590240,峳乢糛,8ae6wj97n1,9,5,1,2,0,3,0,6,2,2
11,資工系,112590054,豝浸饳,xv3q3c8b3t,9,1,7,4,5,8,9,2,9,3
12,電資資安,111C53820,呈蜛巤,46fjlh2c8zh,4,0,9,5,6,9,2,9,1,8
13,電資資安,111C53252,寝所芜,okif5omomf,0,2,4,4,1,7,4,5,3,9
14,資工所,111598223,馑麣籃,vss8o66vgsh,9,4,2,7,9,7,5,8,2,4
15,資工系,111590301,樀獃姻,n48yb9yf1a,2,9,3,5,6,6,9,9,1,3
16,電資資安,112C53249,狘关腼,n5j90guicm,2,0,5,0,9,1,5,8,1,4
17,資工系,111590283,晊憖觚,55vkfg3p77,5,8,0,5,3,5,6,0,5,0
18,資工系,112590774,氛寰芄,j5r4mrvf1r,9,1,7,9,3,5,2,4,9,3
19,電資資安,111C53931,颎矬饵,g513xifv4y,7,5,6,0,9,4,6,9,1,5
20,電資AI,112C52069,代瘜玍,l4u5gm50z5,8,9,3,7,2,2,1,3,0,2
21,資工系,111590626,礏齃懨,q9dwsjis3z,8,9,4,8,4,1,5,5,7,6
22,創新AI,112C71989,諈翯睂,4wloe0vhw,8,2,3,5,7,7,4,2,4,7
23,資工系,112590242,墪駇沝,1ilnraarut,2,2,6,2,8,9,4,5,8,5
24,電資資安,111C53601,蜥俸娀,zofu2qztoj,0,7,5,7,1,0,4,0,8,9
25,資工所,112598639,抂昧蚁,29dxqzg0ir,6,8,7,9,0,0,3,0,1,4
26,資工所,112598677,検鵞孒,p88d2o8zvp,8,8,7,3,9,5,5,3,3,8
27,資工所,112598235,恨壤隣,f47wwzogsch,5,9,9,9,9,7,7,0,4,8
28,電資AI,111C52318,蓗秜陒,w0uz9zdpls,7,6,5,3,7,8,5,6,0,4
29,電資資安,112C53607,韂膶眧,ijml7tnere,5,1,3,6,2,1,7,0,9,2
30,資工所,111598470,僲鯤丌,z6218k6c41g,9,6,7,6,6,5,1,3,9,4
31,電資AI,111C52031,侍溓燃,0kjeu0jw3f,5,2,8,6,5,0,9,6,5,6
32,電資資安,111C53757,労硦欩,0gwqae4er2,6,6,5,8,4,9,9,3,9,7
33,資工所,111598892,裹娜赔,e795th3frn,7,9,1,0,1,7,7,3,0,3
34,資工系,112590901,炕圕沏,f7ud19c7ahk,7,6,7,6,6,1,5,9,7,1
35,創新AI,111C71437,罸涮渡,5z5jqchcnx,0,2,0,0,9,4,8,3,6,6
36,創新AI,112C71982,誶譃灼,vcifzibk86,6,2,8,3,5,7,8,7,8,3
37,資工所,112598060,烾蒧孌,h49zfbxpmeg,1,1,8,4,1,1,9,8,8,9
38,電資資安,112C53233,齚懁鎥,twm1coq7hk,1,9,8,7,6,9,5,9,1,4
